20,20
WAIT,5,8.87
CHASE,67,13.51
ACQUIRE,14,13.12
FETCH,19,13.16
RETURN,47,12.56
WAIT,10,8.11
CHASE,101,13.16
ACQUIRE,13,13.42
FETCH,34,12.85
RETURN,54,12.6
